id,musicname,artist,path,img
1,Phoenix,9mice,/,https://i.pinimg.com/736x/9e/8f/e4/9e8fe4751444a35d4834572e0f0c5369.jpg
2,Yesvuiskiii,CLONNEX,/,https://i.pinimg.com/1200x/00/46/84/00468404c5da47aa83f9feb3edb26132.jpg
3,thankgod,Cowboyclicker,/,https://i.pinimg.com/736x/da/3e/eb/da3eebf03b8b511831ff4b18eeae1b94.jpg
4,MadMode,IVOXYGEN,/,https://i.pinimg.com/736x/67/4c/4b/674c4b83f50b31f533213be38d7d5a95.jpg
5,Она мне,УралГайсин,/,https://i.pinimg.com/736x/bd/b9/49/bdb949a140ed841638e883491c58df26.jpg
6,я молодой вампир vamp,УралГайсин,/,https://i.pinimg.com/736x/bd/b9/49/bdb949a140ed841638e883491c58df26.jpg
7,виски с молоком,снялцепи,/,https://i.pinimg.com/736x/d6/f9/22/d6f9228c81ce91dd29b527b8bea02f7a.jpg
8,Бассок,Платина,/,https://i.pinimg.com/1200x/b2/8f/83/b28f831f01581671600332bd70b9e299.jpg
9,VISION,UDISTRUCT,/,https://i.pinimg.com/736x/9b/4f/97/9b4f97aec3b01076cfc1596cf3779fe5.jpg
10,lil b wonton soup mixx,ToneMira,/,https://i.pinimg.com/1200x/0e/af/2a/0eaf2a27b3115149d47a7c08afccc50c.jpg
11,kiss me,RoyBee,/,https://i.pinimg.com/736x/22/44/cc/2244cc054cb52119a68cd774175360bf.jpg
12,5IVE,lovv66,/,https://i.pinimg.com/1200x/8a/37/b6/8a37b62a8209259eab426280555164b3.jpg
13,Yale,Ken Car$on,/,https://i.pinimg.com/1200x/36/2b/33/362b33f1450a5cbe956b7d84b86143c6.jpg
14,NewJeans,jersey,/,https://i.pinimg.com/736x/2b/79/96/2b7996871e8ffe1f4df2c7d1a2a7c262.jpg
15,put dat shi on!,janu4ryss,/,https://i.pinimg.com/736x/d4/a3/d0/d4a3d0817f213c5256c70c2dde1fbbc5.jpg
16,Subwoofer Lullaby,c418,/,https://i.pinimg.com/1200x/c3/d5/77/c3d577d0e459b18ea581701616682fb7.jpg
17,Haggstrom,c418,/,https://i.pinimg.com/1200x/c3/d5/77/c3d577d0e459b18ea581701616682fb7.jpg
18,Mice On Venus,c418,/,https://i.pinimg.com/1200x/c3/d5/77/c3d577d0e459b18ea581701616682fb7.jpg
19,Minecraft,c418,/,https://i.pinimg.com/1200x/c3/d5/77/c3d577d0e459b18ea581701616682fb7.jpg
20,Moog City 2,c418,/,https://i.pinimg.com/1200x/c3/d5/77/c3d577d0e459b18ea581701616682fb7.jpg
21,Sweden,c418,/,https://i.pinimg.com/1200x/c3/d5/77/c3d577d0e459b18ea581701616682fb7.jpg
22,Wet Hands,c418,/,https://i.pinimg.com/1200x/c3/d5/77/c3d577d0e459b18ea581701616682fb7.jpg



